EQUIPO_LOCAL;EQUIPO_VISITANTE
Almería;Rec. Huelva
Almería;Sabadell
Almería;Salamanca
Almería;Sestao
Almería;Sevilla
Almería;Sporting Gijón
Almería;Tenerife
Almería;Terrassa
Almería;Toledo
Almería;Valencia
Almería;Valladolid
Almería;Vecindario
Almería;Villarreal
Almería;Villarreal B
Almería;Xerez
Almería;Zaragoza
Alzira;Barcelona B
Alzira;Burgos (Real)
Alzira;Castellón
Alzira;Dptivo. Coruña
Alzira;Éibar
Alzira;Figueres
Alzira;Las Palmas
Alzira;Lleida
Alzira;Mallorca
Alzira;Mollerussa
Alzira;Rac. Santander
Alzira;Rayo Vallecano
Alzira;Real Madrid B
Alzira;Rec. Huelva
Alzira;Sabadell
Alzira;Salamanca
Alzira;Sestao
Alzira;Tenerife
Alzira;Xerez
At. Madrid B;Alavés
At. Madrid B;Albacete
At. Madrid B;Algeciras
At. Madrid B;Almería
At. Madrid B;Almería (A.D.)
At. Madrid B;Ath. Bilbao B
At. Madrid B;Badajoz
At. Madrid B;Barakaldo
At. Madrid B;Barcelona B
At. Madrid B;Betis
At. Madrid B;Burgos
At. Madrid B;Burgos (Real)
At. Madrid B;Cádiz
At. Madrid B;Calvo Sotelo
At. Madrid B;Cartagena F.C.
At. Madrid B;Castellón
At. Madrid B;Celta
At. Madrid B;Ceuta
At. Madrid B;Compostela
At. Madrid B;Córdoba
At. Madrid B;Dptivo. Coruña
At. Madrid B;Écija
At. Madrid B;Éibar
At. Madrid B;Elche
At. Madrid B;Espanyol
At. Madrid B;Extremadura
At. Madrid B;Figueres
At. Madrid B;Getafe
At. Madrid B;Granada
At. Madrid B;Hércules
At. Madrid B;Jaén
At. Madrid B;Las Palmas
At. Madrid B;Leganés
At. Madrid B;Levante
At. Madrid B;Linares
At. Madrid B;Lleida
At. Madrid B;Logroñés
At. Madrid B;Lorca
At. Madrid B;Málaga
At. Madrid B;Málaga (C.D.)
At. Madrid B;Mallorca
At. Madrid B;Mallorca B
At. Madrid B;Mérida
At. Madrid B;Murcia
At. Madrid B;Numancia
At. Madrid B;Osasuna
At. Madrid B;Ourense
At. Madrid B;Oviedo
At. Madrid B;Palamós
At. Madrid B;Palencia
At. Madrid B;Rac. Santander
At. Madrid B;Rayo Vallecano
At. Madrid B;Real Madrid B
At. Madrid B;Rec. Huelva
At. Madrid B;Sabadell
At. Madrid B;Salamanca
At. Madrid B;Sestao
At. Madrid B;Sevilla
At. Madrid B;Sporting Gijón
At. Madrid B;Tenerife
At. Madrid B;Toledo
At. Madrid B;Villarreal
At. Madrid B;Xerez
At. Madrid B;Zaragoza B
At. Madrid;Alavés
At. Madrid;Albacete
At. Madrid;Almería
At. Madrid;Almería (A.D.)
At. Madrid;Ath. Bilbao
At. Madrid;Badajoz
At. Madrid;Barcelona
At. Madrid;Betis
At. Madrid;Burgos
At. Madrid;Burgos (Real)
At. Madrid;Cádiz
At. Madrid;Castellón
At. Madrid;Celta
At. Madrid;Compostela
At. Madrid;Córdoba
At. Madrid;Dptivo. Coruña
At. Madrid;Éibar
At. Madrid;Ejido
At. Madrid;Elche
At. Madrid;Espanyol
At. Madrid;Extremadura
At. Madrid;Ferrol
At. Madrid;Getafe
At. Madrid;Gimn. Tarragon
At. Madrid;Granada
At. Madrid;Hércules
At. Madrid;Jaén
At. Madrid;Las Palmas
At. Madrid;Leganés
At. Madrid;Levante
At. Madrid;Lleida
At. Madrid;Logroñés
At. Madrid;Málaga
At. Madrid;Málaga (C.D.)
