idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
29936;Gimn. Tarragon;Granada;0;3;Nou Estadi;
29937;Huesca;Villarreal B;3;0;El Alcoraz;
29938;Numancia;Valladolid;3;3;Nuevo Los Pajaritos;
29939;Rayo Vallecano;Salamanca;1;2;Campo de Fútbol de Vallecas;
29940;Tenerife;Rec. Huelva;1;0;Heliodoro Rodríguez López;
29941;Xerez;Las Palmas;2;1;Municipal de Chapín;
29942;Albacete;Numancia;1;2;Carlos Belmonte;
29943;Betis;Tenerife;3;1;Benito Villamarín;
29944;Girona;Xerez;4;2;Municipal de Montilivi;
29945;Granada;Huesca;2;0;Miguel Prieto;
29946;Las Palmas;Cartagena;2;0;Gran Canaria;
29947;Ponferradina;Barcelona B;2;2;El Toralín;
29948;Rayo Vallecano;Elche;1;2;Campo de Fútbol de Vallecas;
29949;Rec. Huelva;Gimn. Tarragon;1;0;Nuevo Colombino;
29950;Salamanca;Celta;1;1;Pistas del Helmántico;
29951;Valladolid;Córdoba;5;1;José Zorrilla;
29952;Villarreal B;Alcorcón;1;4;;
29953;Alcorcón;Granada;2;0;Santo Domingo;
29954;Barcelona B;Las Palmas;3;5;;
29955;Cartagena;Girona;1;0;Cartagonova;
29956;Celta;Rayo Vallecano;0;0;Balaídos;
29957;Córdoba;Albacete;5;1;Nuevo Arcángel;
29958;Elche;Villarreal B;0;0;Martínez Valero;
29959;Gimn. Tarragon;Betis;3;1;Nou Estadi;
29960;Huesca;Rec. Huelva;1;1;El Alcoraz;
29961;Numancia;Ponferradina;3;0;Nuevo Los Pajaritos;
29962;Tenerife;Valladolid;3;2;Heliodoro Rodríguez López;
29963;Xerez;Salamanca;2;0;Municipal de Chapín;
29964;Albacete;Tenerife;1;2;Carlos Belmonte;
29965;Betis;Huesca;3;1;Benito Villamarín;
29966;Celta;Elche;2;2;Balaídos;
29967;Girona;Barcelona B;0;2;Municipal de Montilivi;
29968;Granada;Villarreal B;3;0;Miguel Prieto;
29969;Las Palmas;Numancia;0;0;Gran Canaria;
29970;Ponferradina;Córdoba;3;0;El Toralín;
29971;Rayo Vallecano;Xerez;3;0;Campo de Fútbol de Vallecas;
29972;Rec. Huelva;Alcorcón;0;0;Nuevo Colombino;
29973;Salamanca;Cartagena;2;0;Pistas del Helmántico;
29974;Valladolid;Gimn. Tarragon;1;0;José Zorrilla;
29975;Alcorcón;Betis;3;3;Santo Domingo;
29976;Barcelona B;Salamanca;5;1;;
29977;Cartagena;Rayo Vallecano;2;4;Cartagonova;
29978;Córdoba;Las Palmas;2;0;Nuevo Arcángel;
29979;Gimn. Tarragon;Albacete;2;1;Nou Estadi;
29980;Granada;Elche;3;3;Miguel Prieto;
29981;Huesca;Valladolid;1;0;El Alcoraz;
29982;Numancia;Girona;4;0;Nuevo Los Pajaritos;
29983;Tenerife;Ponferradina;1;1;Heliodoro Rodríguez López;
29984;Villarreal B;Rec. Huelva;2;0;;
29985;Xerez;Celta;2;1;Municipal de Chapín;
29986;Albacete;Huesca;3;1;Carlos Belmonte;
29987;Betis;Villarreal B;2;1;Benito Villamarín;
29988;Celta;Cartagena;3;0;Balaídos;
29989;Elche;Xerez;4;1;Martínez Valero;
