idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
0;At. Madrid;Valencia;1;3;Wanda Metropolitano;
1;Barcelona;Dptivo. Coruña;3;1;Camp Nou;
2;Burgos;Real Sociedad;1;0;Municipal de El Plantío;
3;Castellón;Real Madrid;2;3;Nuevo Castalia;
4;Celta;Espanyol;1;1;Balaídos;
5;Granada;Zaragoza;0;0;Miguel Prieto;
6;Las Palmas;Oviedo;2;1;Gran Canaria;
7;Málaga (C.D.);Ath. Bilbao;0;0;;
8;Sporting Gijón;Betis;1;0;El Requexón;
9;Ath. Bilbao;Celta;1;1;San Mamés;
10;Betis;Las Palmas;0;2;Benito Villamarín;
11;Dptivo. Coruña;Granada;0;0;Abanca-Riazor;
12;Espanyol;Castellón;1;0;RCDE Stadium;
13;Oviedo;At. Madrid;0;2;Municipal Carlos Tartiere;
14;Real Madrid;Sporting Gijón;1;0;Santiago Bernabéu;
15;Real Sociedad;Málaga (C.D.);1;1;Reale Arena;
16;Valencia;Barcelona;0;1;Mestalla;
17;Zaragoza;Burgos;2;0;La Romareda;
18;At. Madrid;Betis;2;1;Wanda Metropolitano;
19;Barcelona;Oviedo;3;1;Camp Nou;
20;Burgos;Málaga (C.D.);2;2;Municipal de El Plantío;
21;Castellón;Ath. Bilbao;1;4;Nuevo Castalia;
22;Celta;Real Sociedad;0;1;Balaídos;
23;Granada;Valencia;1;1;Miguel Prieto;
24;Las Palmas;Real Madrid;1;1;Gran Canaria;
25;Sporting Gijón;Espanyol;0;0;El Requexón;
26;Zaragoza;Dptivo. Coruña;5;0;La Romareda;
27;Ath. Bilbao;Sporting Gijón;2;0;San Mamés;
28;Betis;Barcelona;0;2;Benito Villamarín;
29;Dptivo. Coruña;Burgos;2;1;Abanca-Riazor;
30;Espanyol;Las Palmas;4;0;RCDE Stadium;
31;Málaga (C.D.);Celta;1;0;;
32;Oviedo;Granada;3;0;Municipal Carlos Tartiere;
33;Real Madrid;At. Madrid;0;1;Santiago Bernabéu;
34;Real Sociedad;Castellón;0;0;Reale Arena;
35;Valencia;Zaragoza;0;0;Mestalla;
36;At. Madrid;Espanyol;0;0;Wanda Metropolitano;
37;Barcelona;Real Madrid;1;0;Camp Nou;
38;Burgos;Celta;0;0;Municipal de El Plantío;
39;Castellón;Málaga (C.D.);1;0;Nuevo Castalia;
40;Dptivo. Coruña;Valencia;1;1;Abanca-Riazor;
41;Granada;Betis;0;0;Miguel Prieto;
42;Las Palmas;Ath. Bilbao;1;0;Gran Canaria;
43;Sporting Gijón;Real Sociedad;3;0;El Requexón;
44;Zaragoza;Oviedo;3;0;La Romareda;
45;Ath. Bilbao;At. Madrid;1;0;San Mamés;
46;Betis;Zaragoza;1;1;Benito Villamarín;
47;Celta;Castellón;2;0;Balaídos;
48;Espanyol;Barcelona;1;1;RCDE Stadium;
49;Málaga (C.D.);Sporting Gijón;1;0;;
50;Oviedo;Dptivo. Coruña;0;0;Municipal Carlos Tartiere;
51;Real Madrid;Granada;2;1;Santiago Bernabéu;
52;Real Sociedad;Las Palmas;1;0;Reale Arena;
53;Valencia;Burgos;3;0;Mestalla;
54;At. Madrid;Real Sociedad;2;1;Wanda Metropolitano;
55;Barcelona;Ath. Bilbao;1;0;Camp Nou;
56;Burgos;Castellón;2;1;Municipal de El Plantío;
57;Dptivo. Coruña;Betis;2;0;Abanca-Riazor;
58;Granada;Espanyol;2;2;Miguel Prieto;
59;Las Palmas;Málaga (C.D.);1;3;Gran Canaria;
60;Sporting Gijón;Celta;3;1;El Requexón;
61;Valencia;Oviedo;2;2;Mestalla;
62;Zaragoza;Real Madrid;0;0;La Romareda;
63;Ath. Bilbao;Granada;0;1;San Mamés;
64;Betis;Valencia;0;0;Benito Villamarín;
65;Castellón;Sporting Gijón;1;0;Nuevo Castalia;
66;Celta;Las Palmas;3;1;Balaídos;
67;Espanyol;Zaragoza;3;1;RCDE Stadium;
68;Málaga (C.D.);At. Madrid;0;1;;
69;Oviedo;Burgos;1;0;Municipal Carlos Tartiere;
70;Real Madrid;Dptivo. Coruña;0;0;Santiago Bernabéu;
71;Real Sociedad;Barcelona;2;0;Reale Arena;
72;At. Madrid;Celta;5;1;Wanda Metropolitano;
73;Barcelona;Málaga (C.D.);0;0;Camp Nou;
74;Burgos;Sporting Gijón;2;1;Municipal de El Plantío;
75;Dptivo. Coruña;Espanyol;0;0;Abanca-Riazor;
76;Granada;Real Sociedad;2;0;Miguel Prieto;
77;Las Palmas;Castellón;0;1;Gran Canaria;
78;Oviedo;Betis;0;0;Municipal Carlos Tartiere;
79;Valencia;Real Madrid;0;1;Mestalla;
80;Zaragoza;Ath. Bilbao;3;2;La Romareda;
81;Ath. Bilbao;Dptivo. Coruña;3;0;San Mamés;
82;Betis;Burgos;5;1;Benito Villamarín;
83;Castellón;At. Madrid;1;1;Nuevo Castalia;
84;Celta;Barcelona;0;0;Balaídos;
85;Espanyol;Valencia;3;0;RCDE Stadium;
86;Málaga (C.D.);Granada;3;0;;
87;Real Madrid;Oviedo;3;0;Santiago Bernabéu;
88;Real Sociedad;Zaragoza;3;0;Reale Arena;
89;Sporting Gijón;Las Palmas;2;2;El Requexón;
90;At. Madrid;Sporting Gijón;0;1;Wanda Metropolitano;
91;Barcelona;Castellón;3;1;Camp Nou;
92;Betis;Real Madrid;2;1;Benito Villamarín;
93;Burgos;Las Palmas;3;3;Municipal de El Plantío;
94;Dptivo. Coruña;Real Sociedad;1;2;Abanca-Riazor;
95;Granada;Celta;1;0;Miguel Prieto;
96;Oviedo;Espanyol;1;2;Municipal Carlos Tartiere;
97;Valencia;Ath. Bilbao;4;1;Mestalla;
98;Zaragoza;Málaga (C.D.);1;1;La Romareda;
99;Ath. Bilbao;Oviedo;3;3;San Mamés;
100;Castellón;Granada;0;0;Nuevo Castalia;
101;Celta;Zaragoza;1;2;Balaídos;
102;Espanyol;Betis;2;2;RCDE Stadium;
103;Las Palmas;At. Madrid;2;2;Gran Canaria;
104;Málaga (C.D.);Dptivo. Coruña;4;1;;
105;Real Madrid;Burgos;2;0;Santiago Bernabéu;
106;Real Sociedad;Valencia;2;1;Reale Arena;
107;Sporting Gijón;Barcelona;1;1;El Requexón;
108;Barcelona;Las Palmas;3;1;Camp Nou;
109;Betis;Ath. Bilbao;0;0;Benito Villamarín;
110;Burgos;At. Madrid;0;1;Municipal de El Plantío;
111;Dptivo. Coruña;Celta;1;0;Abanca-Riazor;
112;Granada;Sporting Gijón;1;0;Miguel Prieto;
113;Oviedo;Real Sociedad;1;1;Municipal Carlos Tartiere;
114;Real Madrid;Espanyol;1;0;Santiago Bernabéu;
115;Valencia;Málaga (C.D.);2;1;Mestalla;
116;Zaragoza;Castellón;0;1;La Romareda;
117;At. Madrid;Barcelona;2;0;Wanda Metropolitano;
118;Ath. Bilbao;Real Madrid;2;1;San Mamés;
119;Castellón;Dptivo. Coruña;2;0;Nuevo Castalia;
120;Celta;Valencia;1;0;Balaídos;
121;Espanyol;Burgos;2;0;RCDE Stadium;
122;Las Palmas;Granada;1;0;Gran Canaria;
123;Málaga (C.D.);Oviedo;1;1;;
124;Real Sociedad;Betis;2;1;Reale Arena;
125;Sporting Gijón;Zaragoza;3;0;El Requexón;
126;Betis;Málaga (C.D.);0;1;Benito Villamarín;
127;Burgos;Barcelona;0;0;Municipal de El Plantío;
128;Dptivo. Coruña;Sporting Gijón;2;1;Abanca-Riazor;
129;Espanyol;Ath. Bilbao;0;0;RCDE Stadium;
130;Granada;At. Madrid;0;1;Miguel Prieto;
131;Oviedo;Celta;0;0;Municipal Carlos Tartiere;
132;Real Madrid;Real Sociedad;6;1;Santiago Bernabéu;
133;Valencia;Castellón;4;2;Mestalla;
134;Zaragoza;Las Palmas;1;0;La Romareda;
135;At. Madrid;Zaragoza;0;0;Wanda Metropolitano;
136;Barcelona;Granada;3;0;Camp Nou;
137;Burgos;Ath. Bilbao;5;1;Municipal de El Plantío;
138;Castellón;Oviedo;2;0;Nuevo Castalia;
139;Celta;Betis;0;0;Balaídos;
140;Las Palmas;Dptivo. Coruña;3;0;Gran Canaria;
141;Málaga (C.D.);Real Madrid;1;0;;
142;Real Sociedad;Espanyol;4;1;Reale Arena;
143;Sporting Gijón;Valencia;1;1;El Requexón;
144;Ath. Bilbao;Real Sociedad;2;1;San Mamés;
145;Betis;Castellón;2;0;Benito Villamarín;
146;Dptivo. Coruña;At. Madrid;1;1;Abanca-Riazor;
147;Espanyol;Málaga (C.D.);1;0;RCDE Stadium;
148;Granada;Burgos;2;0;Miguel Prieto;
149;Oviedo;Sporting Gijón;1;0;Municipal Carlos Tartiere;
150;Real Madrid;Celta;1;0;Santiago Bernabéu;
151;Valencia;Las Palmas;0;0;Mestalla;
152;Zaragoza;Barcelona;0;2;La Romareda;
153;Ath. Bilbao;Málaga (C.D.);2;0;San Mamés;
154;Betis;Sporting Gijón;2;0;Benito Villamarín;
155;Dptivo. Coruña;Barcelona;0;1;Abanca-Riazor;
156;Espanyol;Celta;4;2;RCDE Stadium;
157;Oviedo;Las Palmas;3;0;Municipal Carlos Tartiere;
158;Real Madrid;Castellón;2;0;Santiago Bernabéu;
159;Real Sociedad;Burgos;5;1;Reale Arena;
160;Valencia;At. Madrid;1;2;Mestalla;
161;Zaragoza;Granada;2;0;La Romareda;
162;At. Madrid;Oviedo;2;1;Wanda Metropolitano;
163;Barcelona;Valencia;0;0;Camp Nou;
164;Burgos;Zaragoza;3;0;Municipal de El Plantío;
165;Castellón;Espanyol;2;0;Nuevo Castalia;
166;Celta;Ath. Bilbao;1;0;Balaídos;
167;Granada;Dptivo. Coruña;2;0;Miguel Prieto;
168;Las Palmas;Betis;2;0;Gran Canaria;
169;Málaga (C.D.);Real Sociedad;3;0;;
170;Sporting Gijón;Real Madrid;1;0;El Requexón;
171;Ath. Bilbao;Castellón;1;1;San Mamés;
172;Betis;At. Madrid;1;0;Benito Villamarín;
173;Dptivo. Coruña;Zaragoza;0;0;Abanca-Riazor;
174;Espanyol;Sporting Gijón;3;0;RCDE Stadium;
175;Málaga (C.D.);Burgos;3;0;;
176;Oviedo;Barcelona;0;0;Municipal Carlos Tartiere;
177;Real Madrid;Las Palmas;2;1;Santiago Bernabéu;
178;Real Sociedad;Celta;1;0;Reale Arena;
179;Valencia;Granada;0;0;Mestalla;
180;At. Madrid;Real Madrid;1;2;Wanda Metropolitano;
181;Barcelona;Betis;2;0;Camp Nou;
182;Burgos;Dptivo. Coruña;0;0;Municipal de El Plantío;
183;Castellón;Real Sociedad;3;0;Nuevo Castalia;
184;Celta;Málaga (C.D.);1;0;Balaídos;
185;Granada;Oviedo;4;0;Miguel Prieto;
186;Las Palmas;Espanyol;0;2;Gran Canaria;
187;Sporting Gijón;Ath. Bilbao;2;0;El Requexón;
188;Zaragoza;Valencia;0;1;La Romareda;
189;Ath. Bilbao;Las Palmas;1;0;San Mamés;
190;Betis;Granada;0;0;Benito Villamarín;
191;Celta;Burgos;1;0;Balaídos;
192;Espanyol;At. Madrid;2;1;RCDE Stadium;
193;Málaga (C.D.);Castellón;1;1;;
194;Oviedo;Zaragoza;2;0;Municipal Carlos Tartiere;
195;Real Madrid;Barcelona;0;0;Santiago Bernabéu;
196;Real Sociedad;Sporting Gijón;0;0;Reale Arena;
197;Valencia;Dptivo. Coruña;0;1;Mestalla;
198;At. Madrid;Ath. Bilbao;2;1;Wanda Metropolitano;
199;Barcelona;Espanyol;0;1;Camp Nou;
200;Burgos;Valencia;2;1;Municipal de El Plantío;
201;Castellón;Celta;5;1;Nuevo Castalia;
202;Dptivo. Coruña;Oviedo;1;1;Abanca-Riazor;
203;Granada;Real Madrid;1;2;Miguel Prieto;
204;Las Palmas;Real Sociedad;1;0;Gran Canaria;
205;Sporting Gijón;Málaga (C.D.);2;0;El Requexón;
206;Zaragoza;Betis;3;2;La Romareda;
207;Ath. Bilbao;Barcelona;0;1;San Mamés;
208;Betis;Dptivo. Coruña;2;0;Benito Villamarín;
209;Castellón;Burgos;3;1;Nuevo Castalia;
210;Celta;Sporting Gijón;3;0;Balaídos;
211;Espanyol;Granada;2;1;RCDE Stadium;
212;Málaga (C.D.);Las Palmas;0;1;;
213;Oviedo;Valencia;3;1;Municipal Carlos Tartiere;
214;Real Madrid;Zaragoza;0;0;Santiago Bernabéu;
215;Real Sociedad;At. Madrid;0;1;Reale Arena;
216;At. Madrid;Málaga (C.D.);1;1;Wanda Metropolitano;
217;Barcelona;Real Sociedad;1;0;Camp Nou;
218;Burgos;Oviedo;0;1;Municipal de El Plantío;
219;Dptivo. Coruña;Real Madrid;0;0;Abanca-Riazor;
220;Granada;Ath. Bilbao;0;0;Miguel Prieto;
221;Las Palmas;Celta;0;0;Gran Canaria;
222;Sporting Gijón;Castellón;1;0;El Requexón;
223;Valencia;Betis;2;0;Mestalla;
224;Zaragoza;Espanyol;1;0;La Romareda;
225;Ath. Bilbao;Zaragoza;1;0;San Mamés;
226;Betis;Oviedo;0;0;Benito Villamarín;
227;Castellón;Las Palmas;2;1;Nuevo Castalia;
228;Celta;At. Madrid;0;1;Balaídos;
229;Espanyol;Dptivo. Coruña;2;1;RCDE Stadium;
230;Málaga (C.D.);Barcelona;2;1;;
231;Real Madrid;Valencia;2;1;Santiago Bernabéu;
232;Real Sociedad;Granada;1;0;Reale Arena;
233;Sporting Gijón;Burgos;1;2;El Requexón;
234;At. Madrid;Castellón;1;0;Wanda Metropolitano;
235;Barcelona;Celta;2;0;Camp Nou;
236;Burgos;Betis;2;1;Municipal de El Plantío;
237;Dptivo. Coruña;Ath. Bilbao;2;1;Abanca-Riazor;
238;Granada;Málaga (C.D.);2;0;Miguel Prieto;
239;Las Palmas;Sporting Gijón;1;1;Gran Canaria;
240;Oviedo;Real Madrid;1;2;Municipal Carlos Tartiere;
241;Valencia;Espanyol;1;0;Mestalla;
242;Zaragoza;Real Sociedad;1;1;La Romareda;
243;Ath. Bilbao;Valencia;2;0;San Mamés;
244;Castellón;Barcelona;4;0;Nuevo Castalia;
245;Celta;Granada;0;0;Balaídos;
246;Espanyol;Oviedo;3;0;RCDE Stadium;
247;Las Palmas;Burgos;4;1;Gran Canaria;
248;Málaga (C.D.);Zaragoza;2;1;;
249;Real Madrid;Betis;1;1;Santiago Bernabéu;
250;Real Sociedad;Dptivo. Coruña;2;0;Reale Arena;
251;Sporting Gijón;At. Madrid;2;3;El Requexón;
252;At. Madrid;Las Palmas;2;1;Wanda Metropolitano;
253;Barcelona;Sporting Gijón;3;1;Camp Nou;
254;Betis;Espanyol;2;2;Benito Villamarín;
255;Burgos;Real Madrid;2;3;Municipal de El Plantío;
256;Dptivo. Coruña;Málaga (C.D.);1;0;Abanca-Riazor;
257;Granada;Castellón;1;1;Miguel Prieto;
258;Oviedo;Ath. Bilbao;2;1;Municipal Carlos Tartiere;
259;Valencia;Real Sociedad;1;0;Mestalla;
260;Zaragoza;Celta;2;2;La Romareda;
261;At. Madrid;Burgos;4;2;Wanda Metropolitano;
262;Ath. Bilbao;Betis;1;1;San Mamés;
263;Castellón;Zaragoza;1;1;Nuevo Castalia;
264;Celta;Dptivo. Coruña;1;0;Balaídos;
265;Espanyol;Real Madrid;1;0;RCDE Stadium;
266;Las Palmas;Barcelona;2;1;Gran Canaria;
267;Málaga (C.D.);Valencia;1;1;;
268;Real Sociedad;Oviedo;1;2;Reale Arena;
269;Sporting Gijón;Granada;2;0;El Requexón;
270;Barcelona;At. Madrid;0;0;Camp Nou;
271;Betis;Real Sociedad;1;1;Benito Villamarín;
272;Burgos;Espanyol;1;1;Municipal de El Plantío;
273;Dptivo. Coruña;Castellón;1;1;Abanca-Riazor;
274;Granada;Las Palmas;1;0;Miguel Prieto;
275;Oviedo;Málaga (C.D.);0;0;Municipal Carlos Tartiere;
276;Real Madrid;Ath. Bilbao;3;3;Santiago Bernabéu;
277;Valencia;Celta;1;0;Mestalla;
278;Zaragoza;Sporting Gijón;3;1;La Romareda;
279;At. Madrid;Granada;2;1;Wanda Metropolitano;
280;Ath. Bilbao;Espanyol;1;0;San Mamés;
281;Barcelona;Burgos;2;0;Camp Nou;
282;Castellón;Valencia;1;3;Nuevo Castalia;
283;Celta;Oviedo;4;2;Balaídos;
284;Las Palmas;Zaragoza;1;1;Gran Canaria;
285;Málaga (C.D.);Betis;0;0;;
286;Real Sociedad;Real Madrid;1;1;Reale Arena;
287;Sporting Gijón;Dptivo. Coruña;0;0;El Requexón;
288;Ath. Bilbao;Burgos;4;0;San Mamés;
289;Betis;Celta;1;0;Benito Villamarín;
290;Dptivo. Coruña;Las Palmas;2;2;Abanca-Riazor;
291;Espanyol;Real Sociedad;1;1;RCDE Stadium;
292;Granada;Barcelona;0;2;Miguel Prieto;
293;Oviedo;Castellón;0;0;Municipal Carlos Tartiere;
294;Real Madrid;Málaga (C.D.);2;0;Santiago Bernabéu;
295;Valencia;Sporting Gijón;1;0;Mestalla;
296;Zaragoza;At. Madrid;1;1;La Romareda;
297;At. Madrid;Dptivo. Coruña;3;1;Wanda Metropolitano;
298;Barcelona;Zaragoza;1;1;Camp Nou;
299;Burgos;Granada;2;1;Municipal de El Plantío;
300;Castellón;Betis;3;1;Nuevo Castalia;
301;Celta;Real Madrid;3;0;Balaídos;
302;Las Palmas;Valencia;1;0;Gran Canaria;
303;Málaga (C.D.);Espanyol;0;1;;
304;Real Sociedad;Ath. Bilbao;1;0;Reale Arena;
305;Sporting Gijón;Oviedo;1;0;El Requexón;
306;Barakaldo;Pontevedra;3;0;Nuevo Lasesarre;
307;Cádiz;Sabadell;3;1;Ramón de Carranza;
308;Córdoba;Logroñés;2;1;Nuevo Arcángel;
309;Elche;Cult. Leonesa;3;2;Martínez Valero;
310;Mallorca;Rayo Vallecano;2;1;Son Moix;
311;Osasuna;Rac. Santander;0;1;El Sadar;
312;Sant Andreu;Gimn. Tarragon;1;2;Narcís Sala;
313;Sevilla;Tenerife;3;0;Ramón Sánchez-Pizjuán;
314;Valencia B;Murcia;0;0;Paterna;
315;Valladolid;Hércules;1;1;José Zorrilla;
316;Cult. Leonesa;Sant Andreu;1;2;Municipal Reino de León;
317;Gimn. Tarragon;Barakaldo;2;0;Nou Estadi;
318;Hércules;Sevilla;1;1;José Rico Pérez;
319;Logroñés;Cádiz;3;3;Las Gaunas;
320;Murcia;Valladolid;2;1;Enrique Roca de Murcia;
321;Pontevedra;Mallorca;1;3;Municipal de Pasarón;
322;Rac. Santander;Córdoba;1;0;El Sardinero;
323;Rayo Vallecano;Osasuna;7;0;Campo de Fútbol de Vallecas;
324;Sabadell;Valencia B;2;1;Nova Creu Alta;
325;Tenerife;Elche;0;0;Heliodoro Rodríguez López;
326;Barakaldo;Cult. Leonesa;1;2;Nuevo Lasesarre;
327;Cádiz;Rac. Santander;0;1;Ramón de Carranza;
328;Elche;Hércules;3;0;Martínez Valero;
329;Mallorca;Gimn. Tarragon;2;0;Son Moix;
330;Osasuna;Córdoba;2;2;El Sadar;
331;Rayo Vallecano;Pontevedra;2;2;Campo de Fútbol de Vallecas;
332;Sant Andreu;Tenerife;1;0;Narcís Sala;
333;Sevilla;Murcia;1;1;Ramón Sánchez-Pizjuán;
334;Valencia B;Logroñés;1;1;Paterna;
335;Valladolid;Sabadell;1;1;José Zorrilla;
336;Cult. Leonesa;Mallorca;0;0;Municipal Reino de León;
337;Córdoba;Cádiz;2;0;Nuevo Arcángel;
338;Gimn. Tarragon;Rayo Vallecano;2;0;Nou Estadi;
339;Hércules;Sant Andreu;1;0;José Rico Pérez;
340;Logroñés;Valladolid;1;2;Las Gaunas;
341;Murcia;Elche;2;0;Enrique Roca de Murcia;
342;Pontevedra;Osasuna;1;2;Municipal de Pasarón;
343;Rac. Santander;Valencia B;2;0;El Sardinero;
344;Sabadell;Sevilla;0;1;Nova Creu Alta;
345;Tenerife;Barakaldo;0;0;Heliodoro Rodríguez López;
346;Barakaldo;Hércules;2;0;Nuevo Lasesarre;
347;Elche;Sabadell;1;0;Martínez Valero;
348;Mallorca;Tenerife;3;0;Son Moix;
349;Osasuna;Cádiz;1;0;El Sadar;
350;Pontevedra;Gimn. Tarragon;3;0;Municipal de Pasarón;
351;Rayo Vallecano;Cult. Leonesa;1;1;Campo de Fútbol de Vallecas;
352;Sant Andreu;Murcia;3;2;Narcís Sala;
353;Sevilla;Logroñés;0;0;Ramón Sánchez-Pizjuán;
354;Valencia B;Córdoba;0;1;Paterna;
355;Valladolid;Rac. Santander;0;0;José Zorrilla;
356;Cult. Leonesa;Pontevedra;1;1;Municipal Reino de León;
357;Cádiz;Valencia B;1;1;Ramón de Carranza;
358;Córdoba;Valladolid;2;3;Nuevo Arcángel;
359;Gimn. Tarragon;Osasuna;1;0;Nou Estadi;
360;Hércules;Mallorca;2;0;José Rico Pérez;
361;Logroñés;Elche;0;1;Las Gaunas;
362;Murcia;Barakaldo;6;0;Enrique Roca de Murcia;
363;Rac. Santander;Sevilla;1;0;El Sardinero;
364;Sabadell;Sant Andreu;1;1;Nova Creu Alta;
365;Tenerife;Rayo Vallecano;1;0;Heliodoro Rodríguez López;
366;Barakaldo;Sabadell;1;0;Nuevo Lasesarre;
367;Elche;Rac. Santander;1;1;Martínez Valero;
368;Gimn. Tarragon;Cult. Leonesa;4;0;Nou Estadi;
369;Mallorca;Murcia;1;0;Son Moix;
370;Osasuna;Valencia B;1;0;El Sadar;
371;Pontevedra;Tenerife;2;1;Municipal de Pasarón;
372;Rayo Vallecano;Hércules;2;1;Campo de Fútbol de Vallecas;
373;Sant Andreu;Logroñés;1;1;Narcís Sala;
374;Sevilla;Córdoba;3;1;Ramón Sánchez-Pizjuán;
375;Valladolid;Cádiz;1;0;José Zorrilla;
376;Cult. Leonesa;Osasuna;1;0;Municipal Reino de León;
377;Cádiz;Sevilla;1;1;Ramón de Carranza;
378;Córdoba;Elche;1;2;Nuevo Arcángel;
379;Hércules;Pontevedra;2;1;José Rico Pérez;
380;Logroñés;Barakaldo;1;1;Las Gaunas;
381;Murcia;Rayo Vallecano;2;1;Enrique Roca de Murcia;
382;Rac. Santander;Sant Andreu;1;1;El Sardinero;
383;Sabadell;Mallorca;0;1;Nova Creu Alta;
384;Tenerife;Gimn. Tarragon;1;0;Heliodoro Rodríguez López;
385;Valencia B;Valladolid;0;0;Paterna;
386;Barakaldo;Rac. Santander;0;0;Nuevo Lasesarre;
387;Cult. Leonesa;Tenerife;0;0;Municipal Reino de León;
388;Elche;Cádiz;3;0;Martínez Valero;
389;Gimn. Tarragon;Hércules;1;0;Nou Estadi;
390;Mallorca;Logroñés;0;0;Son Moix;
391;Osasuna;Valladolid;0;0;El Sadar;
392;Pontevedra;Murcia;0;1;Municipal de Pasarón;
393;Rayo Vallecano;Sabadell;3;0;Campo de Fútbol de Vallecas;
394;Sant Andreu;Córdoba;1;0;Narcís Sala;
395;Sevilla;Valencia B;3;0;Ramón Sánchez-Pizjuán;
396;Cádiz;Sant Andreu;6;0;Ramón de Carranza;
397;Córdoba;Barakaldo;2;0;Nuevo Arcángel;
398;Hércules;Cult. Leonesa;3;1;José Rico Pérez;
399;Logroñés;Rayo Vallecano;2;0;Las Gaunas;
400;Murcia;Gimn. Tarragon;3;1;Enrique Roca de Murcia;
401;Rac. Santander;Mallorca;1;0;El Sardinero;
402;Sabadell;Pontevedra;3;1;Nova Creu Alta;
403;Tenerife;Osasuna;2;0;Heliodoro Rodríguez López;
404;Valencia B;Elche;2;3;Paterna;
405;Valladolid;Sevilla;1;1;José Zorrilla;
406;Barakaldo;Cádiz;1;1;Nuevo Lasesarre;
407;Cult. Leonesa;Murcia;1;3;Municipal Reino de León;
408;Elche;Valladolid;1;2;Martínez Valero;
409;Gimn. Tarragon;Sabadell;2;1;Nou Estadi;
410;Mallorca;Córdoba;2;0;Son Moix;
411;Osasuna;Sevilla;1;1;El Sadar;
412;Pontevedra;Logroñés;1;1;Municipal de Pasarón;
413;Rayo Vallecano;Rac. Santander;2;0;Campo de Fútbol de Vallecas;
414;Sant Andreu;Valencia B;0;0;Narcís Sala;
415;Tenerife;Hércules;3;0;Heliodoro Rodríguez López;
416;Cádiz;Mallorca;2;0;Ramón de Carranza;
417;Córdoba;Rayo Vallecano;2;0;Nuevo Arcángel;
418;Hércules;Osasuna;2;0;José Rico Pérez;
419;Logroñés;Gimn. Tarragon;1;1;Las Gaunas;
420;Murcia;Tenerife;3;0;Enrique Roca de Murcia;
421;Rac. Santander;Pontevedra;1;0;El Sardinero;
422;Sabadell;Cult. Leonesa;2;0;Nova Creu Alta;
423;Sevilla;Elche;2;0;Ramón Sánchez-Pizjuán;
424;Valencia B;Barakaldo;0;1;Paterna;
425;Valladolid;Sant Andreu;1;1;José Zorrilla;
426;Barakaldo;Valladolid;2;0;Nuevo Lasesarre;
427;Cult. Leonesa;Logroñés;3;2;Municipal Reino de León;
428;Gimn. Tarragon;Rac. Santander;1;0;Nou Estadi;
429;Hércules;Murcia;0;1;José Rico Pérez;
430;Mallorca;Valencia B;1;1;Son Moix;
431;Osasuna;Elche;1;0;El Sadar;
432;Pontevedra;Córdoba;0;0;Municipal de Pasarón;
433;Rayo Vallecano;Cádiz;1;2;Campo de Fútbol de Vallecas;
434;Sant Andreu;Sevilla;1;0;Narcís Sala;
435;Tenerife;Sabadell;1;1;Heliodoro Rodríguez López;
436;Cádiz;Pontevedra;2;0;Ramón de Carranza;
437;Córdoba;Gimn. Tarragon;1;0;Nuevo Arcángel;
438;Elche;Sant Andreu;2;0;Martínez Valero;
439;Logroñés;Tenerife;3;0;Las Gaunas;
440;Murcia;Osasuna;1;0;Enrique Roca de Murcia;
441;Rac. Santander;Cult. Leonesa;2;1;El Sardinero;
442;Sabadell;Hércules;0;0;Nova Creu Alta;
443;Sevilla;Barakaldo;0;1;Ramón Sánchez-Pizjuán;
444;Valencia B;Rayo Vallecano;2;1;Paterna;
445;Valladolid;Mallorca;3;1;José Zorrilla;
446;Barakaldo;Elche;0;0;Nuevo Lasesarre;
447;Cult. Leonesa;Córdoba;3;0;Municipal Reino de León;
448;Gimn. Tarragon;Cádiz;2;1;Nou Estadi;
449;Hércules;Logroñés;1;0;José Rico Pérez;
450;Mallorca;Sevilla;1;1;Son Moix;
451;Murcia;Sabadell;5;2;Enrique Roca de Murcia;
452;Osasuna;Sant Andreu;1;1;El Sadar;
453;Pontevedra;Valencia B;2;0;Municipal de Pasarón;
454;Rayo Vallecano;Valladolid;0;2;Campo de Fútbol de Vallecas;
455;Tenerife;Rac. Santander;4;1;Heliodoro Rodríguez López;
456;Cádiz;Cult. Leonesa;1;0;Ramón de Carranza;
457;Córdoba;Tenerife;1;0;Nuevo Arcángel;
458;Elche;Mallorca;3;1;Martínez Valero;
459;Logroñés;Murcia;0;0;Las Gaunas;
460;Rac. Santander;Hércules;1;0;El Sardinero;
461;Sabadell;Osasuna;2;1;Nova Creu Alta;
462;Sant Andreu;Barakaldo;3;0;Narcís Sala;
463;Sevilla;Rayo Vallecano;3;0;Ramón Sánchez-Pizjuán;
464;Valencia B;Gimn. Tarragon;3;1;Paterna;
465;Valladolid;Pontevedra;1;0;José Zorrilla;
466;Cult. Leonesa;Valencia B;2;1;Municipal Reino de León;
467;Gimn. Tarragon;Valladolid;2;1;Nou Estadi;
468;Hércules;Córdoba;1;0;José Rico Pérez;
469;Mallorca;Sant Andreu;2;1;Son Moix;
470;Murcia;Rac. Santander;4;1;Enrique Roca de Murcia;
471;Osasuna;Barakaldo;1;0;El Sadar;
472;Pontevedra;Sevilla;2;0;Municipal de Pasarón;
473;Rayo Vallecano;Elche;0;1;Campo de Fútbol de Vallecas;
474;Sabadell;Logroñés;0;2;Nova Creu Alta;
475;Tenerife;Cádiz;0;1;Heliodoro Rodríguez López;
476;Barakaldo;Mallorca;1;0;Nuevo Lasesarre;
